provider,task,tag,n,chrf,multilingual_bertscore_f1
gemini,translation,code_mixed,3,0.3235590787889521,0.9899555113280613
gemini,translation,deadline,1,0.3079909081582808,0.9912824113488599
gemini,translation,documents,2,0.19601659787241013,0.9857244878947622
gemini,translation,email,2,0.2745186406940989,0.9880194254369434
gemini,translation,emotion,2,0.19561366419244644,0.9876457222746298
gemini,translation,funding,2,0.36270440181127056,0.9876255437300538
gemini,translation,gradcafe,1,0.5387694200662119,0.9935159243280538
gemini,translation,international,1,0.4313186669057589,0.991863263039573
gemini,translation,interview,2,0.32150986494510697,0.9884877155599052
gemini,translation,named_entity,5,0.35413583947660554,0.989417541058482
gemini,translation,profile_review,2,0.14159500903698638,0.984717262476257
gemini,translation,program,1,0.5555172389538066,0.9892350932879087
gemini,translation,rejection,2,0.2742525658103777,0.9881258809222884
gemini,translation,research_fit,1,0.19285384516297063,0.9877923443790774
gemini,translation,slang,6,0.31151157064246526,0.9889848118641487
gemini,translation,sop,1,0.2705855245202585,0.9884161150396381
gemini,translation,support,1,0.39622864214327164,0.9912783057197262
gemini,translation,timeline,1,0.2867593761233283,0.984888554311906
gemini,translation,visa,1,0.4313186669057589,0.991863263039573
gemini,translation,waitlist,1,0.3727514450447558,0.9905325429349554
